Timestamp,Full Name,Email Address,"Cryptocurrency Wallet Address (For verification/rewards, if applicable)","Overall, how satisfied are you with StipeStream?",Which features of StipeStream do you use most frequently?,Please rate the following aspects of your experience: [Content Quality/Variety],Please rate the following aspects of your experience: [Platform Reliability (Uptime/Stability)],Please rate the following aspects of your experience: [Streaming Speed/Buffering],Please rate the following aspects of your experience: [Ease of Wallet Integration],Please rate the following aspects of your experience: [Value for Money],"If you could only change one thing about StipeStream, what would it be?",Would you recommend StipeStream to a friend or colleague?
4/27/2026 18:31:28,Maria Santos,maria.s@up.edu.ph,GBOJN4A72VBGZJMJBJ7P2UVGKERZRVRTDVZ57CGBLVNBW333WSPPZF5E,5,Real-time Streaming,Very Good (4),Excellent (5),Very Good (4),Excellent (5),Very Good (4),The 30-day timer is a lifesaver! I no more have to worry about my allowance being delayed by office paperwork.,Maybe
4/27/2026 18:31:44,David Miller,d.miller@foundation.org,GCCPBOUQK45AYSLFBRJPFA7ROM47XQOOB437XCCHBJ4Q5EVZ4GZMGSR4,4,Content Library Access (VOD),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Great tool for our scholarship fund. It would be perfect if there was a bulk-onboard feature for adding multiple students at once.,"Yes, definitely"
4/27/2026 18:32:03,Robert Lim,robert.lim@invest.com,GCIFITNM7AVIRQLARH7QKVGKXAX62XAGG2QE2JJ6P4WKEEJ3VEP5FFG2,5,Content Library Access (VOD),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Very Good (4),I love the Impact NFT! It gives me a tangible sense of how my donation is helping. Very transparent.,"Yes, definitely"
4/27/2026 18:32:16,Sarah Chen,schen@ust.edu.ph,GDDEFCW2QYPXTZ6MBGUIMYJGNVM4HO3ULCBTHDVQ5ODZLX33WPTEQTL,4,Content Library Access (VOD),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Very Good (4),The Bauhaus UI is beautiful and very easy to navigate. The transaction feedback is very clear.,"Yes, definitely"
4/27/2026 18:32:31,Alex Rivera,alex.riv@techmail.com,GCMX5AJQYZGDSZ6NWEVDUATM7TDDU7A6AM3EIWVWBLLKN3IM35N5I4MT,5,Content Library Access (VOD),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Smoothest Freighter connection I've experienced. The Demo Mode was very helpful to understand the flow before committing real funds.,"Yes, definitely"
4/28/2026 12:54:43,James Wilson,james.wilson@gmail.com,GBDLCKC6VZ4GBQ4QOSB7LYYZLR4C7QHSXNZDNV2SNNBVOD2IXQDYHS3D,5,Real-time Streaming,Excellent (5),Excellent (5),Very Good (4),Excellent (5),Excellent (5),Very user friendly,"Yes, definitely"
4/28/2026 12:55:21,Maria Garcia,maria.garcia@gmail.com,GCGEID4OYTFPAWVUETPYF6SUXABX6WVBITKO3ZPPQOI2LSVSYEAKU5S7,4,"Real-time Streaming, User Interface/Navigation",Very Good (4),Very Good (4),Excellent (5),Very Good (4),Very Good (4),More localized content.,Maybe
4/28/2026 12:55:55,David Chen,dchen88@outlook.com,GAC7HJ6F2ETDSUUGKDNQUUHBLK3GRETXYIVHE4ESHB2FHWX5QG2UOGI5,5,"Real-time Streaming, Content Library Access (VOD), Staking/Token Rewards Interface",Very Good (4),Excellent (5),Very Good (4),Excellent (5),Excellent (5),Better search filters for the content library.,Maybe
4/28/2026 12:56:11,Sarah Jenkins,sjenkins.crypto@protonmail.com,GAPIENVSOSGOT45K5SCICIPVFV4Q6FYRNX4EMOZA63X7COWXHEC6AELU,4,"Real-time Streaming, Staking/Token Rewards Interface",Very Good (4),Excellent (5),Very Good (4),Excellent (5),Excellent (5),Add a mobile app for better accessibility.,"Yes, definitely"
4/28/2026 12:56:26,Michael O'Connor,moconnor@techie.com,GAUNZRTAMAA2YNHACK7C6YRJ66Q4LU3MO4NLM5IUHEWFJYPFZMQVTHHF,4,"Real-time Streaming, User Interface/Navigation",Very Good (4),Very Good (4),Excellent (5),Excellent (5),Very Good (4),"The UI is very intuitive, keep it up.","Yes, definitely"
